-616753.908145 -6972031.492187 -14914.784099,225588.583320 -2192121.233826 6632828.272233,755125.192760 5620121.133769 4093567.539625,239512.695072 5658519.200070 -4118229.030979,-606978.512973 -2114178.170552 -6649156.346987,2859755.743823 -5724074.687302 2827873.038573,87175.741936 847825.991530 6936571.076647,-2806692.526461 6246658.145667 1438043.722067,-1820011.864671 3007564.428235 -6057181.822481,1676581.812240 -4379458.556844 -5201210.167836,4023083.722155 -2423657.444250 5179635.227620,-2647951.407434 2321768.636755 6038553.995662,-5656537.581196 3854926.876386 -1467225.927836,-849254.734104 61116.674764 -6951641.602742,5128638.757487 -3817036.080706 -2855226.240090,2192121.233826 225588.583320 6632828.272233,-5620121.133769 755125.192760 4093567.539625,-5658519.200070 239512.695072 -4118229.030979,2114178.170552 -606978.512973 -6649156.346987,6972031.492187 -616753.908145 -14914.784099,-847825.991530 87175.741936 6936571.076647,-6246658.145667 -2806692.526461 1438043.722067,-3007564.428235 -1820011.864671 -6057181.822481,4379458.556844 1676581.812241 -5201210.167836,5724074.687302 2859755.743823 2827873.038573,-2321768.636755 -2647951.407434 6038553.995662,-3854926.876386 -5656537.581196 -1467225.927836,-61116.674764 -849254.734104 -6951641.602742,3817036.080706 5128638.757487 -2855226.240090,2423657.444250 4023083.722155 5179635.227620
-617546.776010 -6968536.636789 211051.989594,244468.282982 -1977367.708956 6699190.723800,767560.144506 5749067.187553 3908510.214516,228324.882751 5523398.038734 -4298522.425577,-626311.795358 -2326243.761929 -6576134.815879,2818891.963947 -5638366.922075 3032922.084078,-6923.323093 1050957.847356 6909313.676315,-2823865.466606 6286235.050817 1216187.728441,-1736665.782255 2829227.554517 -6166623.074976,1745368.256562 -4529531.189132 -5047704.587792,3883593.613201 -2326468.972464 5328184.577742,-2805886.017344 2433502.477361 5922368.883525,-5614437.786304 3826644.365371 -1687359.640448,-665829.560775 -67723.698228 -6971543.850971,5200532.228416 -3868831.094931 -2647554.532991,1977367.708956 244468.282982 6699190.723800,-5749067.187553 767560.144506 3908510.214516,-5523398.038734 228324.882751 -4298522.425577,2326243.761929 -626311.795358 -6576134.815879,6968536.636789 -617546.776010 211051.989594,-1050957.847356 -6923.323093 6909313.676315,-6286235.050817 -2823865.466606 1216187.728441,-2829227.554517 -1736665.782255 -6166623.074976,4529531.189132 1745368.256562 -5047704.587792,5638366.922075 2818891.963947 3032922.084078,-2433502.477361 -2805886.017344 5922368.883525,-3826644.365371 -5614437.786304 -1687359.640448,67723.698228 -665829.560775 -6971543.850971,3868831.094931 5200532.228416 -2647554.532991,2326468.972464 3883593.613201 5328184.577742
-617664.435151 -6957772.588354 436797.059927,264037.464239 -1760640.299492 6758529.763453,779745.566601 5871963.818358 3719347.037340,216296.306047 5382591.180327 -4474318.809455,-645919.456720 -2535817.306558 -6496259.329105,2775475.898708 -5546593.072603 3234784.222776,-100127.927916 1253405.886020 6874814.174340,-2837933.650793 6319322.645855 993053.782224,-1652308.960032 2647594.292228 -6269632.291570,1811697.047023 -4675200.386220 -4888924.087207,3740488.539382 -2226238.021889 5471141.176257,-2960413.357538 2543385.267467 5799970.236048,-5566622.747955 3794179.226953 -1905722.930851,-482281.333814 -197296.860960 -6984185.622359,5266795.108976 -3916902.107540 -2437107.432438,1760640.299492 264037.464239 6758529.763453,-5871963.818358 779745.566601 3719347.037340,-5382591.180327 216296.306047 -4474318.809455,2535817.306558 -645919.456720 -6496259.329105,6957772.588354 -617664.435151 436797.059927,-1253405.886020 -100127.927916 6874814.174340,-6319322.645855 -2837933.650793 993053.782224,-2647594.292228 -1652308.960032 -6269632.291570,4675200.386220 1811697.047023 -4888924.087207,5546593.072603 2775475.898708 3234784.222776,-2543385.267467 -2960413.357538 5799970.236048,-3794179.226953 -5566622.747955 -1905722.930851,197296.860960 -482281.333814 -6984185.622359,3916902.107540 5266795.108976 -2437107.432438,2226238.021889 3740488.539382 5471141.176257
-617074.931062 -6939752.958606 662083.249331,284283.912966 -1542167.673696 6810783.615842,791641.945071 5988683.590837 3526276.440269,203414.968364 5236249.973151 -4645435.437556,-665769.726912 -2742680.437681 -6409612.111909,2729579.329774 -5448838.137320 3433247.501919,-192344.547014 1454955.284784 6833108.465154,-2848911.043693 6345873.179565 768876.399817,-1567043.087885 2462849.031494 -6366103.258263,1875518.531312 -4816302.966499 -4725033.337504,3593931.151998 -2123053.822800 5608355.572146,-3111380.543945 2651287.042195 5671485.844104,-5513161.635991 3757541.162733 -2122087.058887,-298802.741064 -327468.975919 -6989553.934421,5327373.720759 -3961173.461976 -2224105.000663,1542167.673696 284283.912966 6810783.615842,-5988683.590837 791641.945071 3526276.440269,-5236249.973151 203414.968364 -4645435.437556,2742680.437681 -665769.726912 -6409612.111909,6939752.958606 -617074.931062 662083.249331,-1454955.284784 -192344.547014 6833108.465154,-6345873.179565 -2848911.043693 768876.399817,-2462849.031494 -1567043.087885 -6366103.258263,4816302.966499 1875518.531312 -4725033.337504,5448838.137320 2729579.329774 3433247.501919,-2651287.042195 -3111380.543945 5671485.844104,-3757541.162733 -5513161.635991 -2122087.058887,327468.975919 -298802.741064 -6989553.934421,3961173.461976 5327373.720759 -2224105.000663,2123053.822800 3593931.151998 5608355.572146
-615747.151452 -6914499.147821 886673.828625,305193.702557 -1322180.220890 6855897.892737,803209.546310 6099105.706691 3329501.014287,189670.441937 5084531.484545 -4811694.549159,-685829.630311 -2946617.635134 -6316282.399467,2681276.242494 -5345193.717066 3628103.588513,-283481.608115 1655391.724961 6784239.946916,-2856815.043638 6365845.874863 543891.180299,-1480969.926131 2275179.736711 -6455936.553248,1936786.310720 -4952680.198294 -4556202.423963,3444087.262889 -2017009.389065 5739684.372511,-3258638.920384 2757079.222558 5537049.902357,-5454129.466188 3716744.572153 -2336225.485584,-115585.796838 -458104.746298 -6987643.274436,5382220.625079 -4001573.261097 -2008770.091009,1322180.220890 305193.702557 6855897.892737,-6099105.706691 803209.546310 3329501.014287,-5084531.484545 189670.441937 -4811694.549159,2946617.635134 -685829.630311 -6316282.399467,6914499.147821 -615747.151452 886673.828625,-1655391.724961 -283481.608115 6784239.946916,-6365845.874863 -2856815.043638 543891.180299,-2275179.736711 -1480969.926131 -6455936.553248,4952680.198294 1936786.310720 -4556202.423963,5345193.717066 2681276.242494 3628103.588513,-2757079.222558 -3258638.920384 5537049.902357,-3716744.572153 -5454129.466188 -2336225.485584,458104.746298 -115585.796838 -6987643.274436,4001573.261097 5382220.625079 -2008770.091009,2017009.389065 3444087.262889 5739684.372511
-613650.811028 -6882040.327172 1110332.773900,326751.217340 -1100909.804588 6893825.645509,814408.416866 6203116.148297 3129227.294979,175053.841875 4927598.324826 -4972923.545953,-706064.998270 -3147416.457493 -6216366.353948,2630642.780590 -5235757.890783 3819147.990671,-373449.601807 1854501.616533 6728259.479766,-2861666.509092 6379206.952722 318334.549802,-1394191.213692 2084777.736846 -6539039.639915,1995457.329731 -5084177.963032 -4382606.676729,3291125.676064 -1908201.391115 5864990.387296,-3402044.241966 2860634.732165 5396802.874667,-5389607.037947 3671808.492697 -2547914.114056,67178.359382 -589067.555301 -6978455.604442,5431294.711189 -4038033.411836 -1791328.112168,1100909.804588 326751.217340 6893825.645509,-6203116.148297 814408.416866 3129227.294979,-4927598.324826 175053.841875 -4972923.545953,3147416.457493 -706064.998270 -6216366.353948,6882040.327172 -613650.811028 1110332.773900,-1854501.616533 -373449.601807 6728259.479766,-6379206.952722 -2861666.509092 318334.549802,-2084777.736846 -1394191.213692 -6539039.639915,5084177.963032 1995457.329731 -4382606.676729,5235757.890783 2630642.780590 3819147.990671,-2860634.732165 -3402044.241966 5396802.874667,-3671808.492697 -5389607.037947 -2547914.114056,589067.555301 67178.359382 -6978455.604442,4038033.411836 5431294.711189 -1791328.112168,1908201.391115 3291125.676064 5864990.387296
-610756.639295 -6842413.393640 1332825.022627,348939.137165 -878589.523307 6924527.410330,825198.562445 6300607.791253 2925665.543421,159557.949505 4765618.460258 -5128955.163983,-726440.568246 -3344867.751785 -6109966.974742,2577757.040167 -5120635.163379 4006180.274186,-462161.141816 2052072.330033 6665225.336799,-2863489.593579 6385929.731906 92443.504952,-1306808.508220 1891837.557263 -6615326.953036,2051491.817294 -5210646.970760 -4204426.495632,3135217.956399 -1796730.127916 5984142.767159,-3541456.773764 2961828.207675 5250891.352615,-5319680.755633 3622756.695970 -2756931.526993,249299.650814 -720219.602045 -6962000.359458,5474561.159686 -4070489.823845 -1572006.788864,878589.523307 348939.137165 6924527.410330,-6300607.791253 825198.562445 2925665.543421,-4765618.460258 159557.949505 -5128955.163983,3344867.751785 -726440.568246 -6109966.974742,6842413.393640 -610756.639295 1332825.022627,-2052072.330033 -462161.141816 6665225.336799,-6385929.731906 -2863489.593579 92443.504952,-1891837.557263 -1306808.508220 -6615326.953036,5210646.970760 2051491.817294 -4204426.495632,5120635.163379 2577757.040167 4006180.274186,-2961828.207675 -3541456.773764 5250891.352615,-3622756.695970 -5319680.755633 -2756931.526993,720219.602045 249299.650814 -6962000.359458,4070489.823845 5474561.159686 -1572006.788864,1796730.127916 3135217.956399 5984142.767159
-607036.363394 -6795662.933867 1553916.728650,371738.467545 -655453.461937 6947971.246101,835539.950184 6391480.532585 2719029.522410,143177.181113 4598765.026887 -5279627.639359,-746920.002133 -3538765.880325 -5997194.001888,2522699.021043 -4999936.326629 4189004.274069,-549531.067377 2247892.421528 6595203.147783,-2862311.763343 6385994.636428 -133544.644275,-1218923.097824 1696556.703536 -6684719.978133,2104853.367282 -5331942.915513 -4021847.168958,2976538.257569 -1682699.390811 6097017.134424,-3676741.463752 3060536.115285 5099467.907214,-5244442.553803 3569617.616801 -2963059.220441,430589.260741 -851422.046181 -6938294.438943,5511991.515440 -4098882.446666 -1351035.919277,655453.461937 371738.467545 6947971.246101,-6391480.532585 835539.950184 2719029.522410,-4598765.026887 143177.181113 -5279627.639359,3538765.880325 -746920.002133 -5997194.001888,6795662.933867 -607036.363394 1553916.728650,-2247892.421528 -549531.067377 6595203.147783,-6385994.636428 -2862311.763343 -133544.644275,-1696556.703536 -1218923.097824 -6684719.978133,5331942.915513 2104853.367282 -4021847.168958,4999936.326629 2522699.021043 4189004.274069,-3060536.115285 -3676741.463752 5099467.907214,-3569617.616801 -5244442.553803 -2963059.220441,851422.046181 430589.260741 -6938294.438943,4098882.446666 5511991.515440 -1351035.919277,1682699.390811 2976538.257569 6097017.134424
-602462.791336 -6741841.169830 1773375.515701,395128.550584 -431736.446712 6964132.765115,845392.599641 6475641.399340 2509536.268292,125907.630590 4427216.136756 -5424784.867625,-767465.947567 -3728908.934857 -5878163.812685,2465550.496929 -4873778.352895 4367428.300843,-635476.520592 2441751.860286 6518265.835609,-2858163.717903 6379389.236378 -359392.531939,-1130635.878716 1499135.465188 -6747147.324021,2155508.943848 -5447926.653835 -3835058.686285,2815263.117425 -1566216.375532 6203495.707043,-3807768.071453 3156636.912348 4942690.933920,-5163989.761547 3512424.357507 -3166081.833603,610859.822926 -982535.150654 -6907362.191488,5543563.694800 -4123155.380832 -1128647.129498,431736.446712 395128.550584 6964132.765115,-6475641.399340 845392.599641 2509536.268292,-4427216.136756 125907.630590 -5424784.867625,3728908.934857 -767465.947567 -5878163.812685,6741841.169830 -602462.791336 1773375.515701,-2441751.860286 -635476.520592 6518265.835609,-6379389.236378 -2858163.717903 -359392.531939,-1499135.465188 -1130635.878716 -6747147.324021,5447926.653835 2155508.943848 -3835058.686285,4873778.352895 2465550.496929 4367428.300843,-3156636.912348 -3807768.071453 4942690.933920,-3512424.357507 -5163989.761547 -3166081.833603,982535.150654 610859.822926 -6907362.191488,4123155.380832 5543563.694800 -1128647.129498,1566216.375532 2815263.117425 6203495.707043
-597009.873763 -6681007.897270 1990970.729103,419087.083194 -207673.798913 6972995.156425,854716.656895 6553004.651316 2297405.858664,107747.094401 4251154.680281 -5564276.556699,-788040.093471 -3915098.949503 -5752999.311527,2406394.900064 -4742284.274028 4541265.341376,-719917.024784 2633442.255327 6434493.545489,-2851079.325076 6366108.272000 -584862.993387,-1042047.241608 1299776.712278 -6802544.788537,2203428.896579 -5558464.373072 -3644255.545561,2651571.258053 -1447391.579802 6303467.415511,-3934411.298961 3250011.198875 4780724.491013,-5078424.972030 3451214.670699 -3365787.374407,789925.611022 -1113418.427268 -6869235.392742,5569261.996709 -4143256.969039 -905073.625341,207673.798913 419087.083194 6972995.156425,-6553004.651316 854716.656895 2297405.858664,-4251154.680281 107747.094401 -5564276.556699,3915098.949503 -788040.093471 -5752999.311527,6681007.897270 -597009.873763 1990970.729103,-2633442.255327 -719917.024784 6434493.545489,-6366108.272000 -2851079.325076 -584862.993387,-1299776.712278 -1042047.241608 -6802544.788537,5558464.373072 2203428.896579 -3644255.545561,4742284.274028 2406394.900064 4541265.341376,-3250011.198875 -3934411.298961 4780724.491013,-3451214.670699 -5078424.972030 -3365787.374407,1113418.427268 789925.611022 -6869235.392742,4143256.969039 5569261.996709 -905073.625341,1447391.579802 2651571.258053 6303467.415511
