-607959.601959 -6872464.421992 -14915.269074,676923.374431 3404746.634834 5952136.673019,-71381.637441 3464346.022756 -5970764.648234,2482504.382099 -4676586.157765 4413954.393015,-2602192.210646 5941964.877027 2341350.333590,117195.922374 -1264568.642877 -6785760.960266,1225982.694873 -339298.282399 6770404.316895,-5390920.562154 3599226.591749 -2369429.276206,4162151.661716 -3260790.794292 -4437605.293083,-3404746.634834 676923.374431 5952136.673019,-3464346.022756 -71381.637441 -5970764.648234,6872464.421992 -607959.601959 -14915.269074,-5941964.877027 -2602192.210646 2341350.333590,1264568.642877 117195.922374 -6785760.960266,4676586.157765 2482504.382099 4413954.393015,-3599226.591749 -5390920.562154 -2369429.276206,3260790.794292 4162151.661716 -4437605.293083,339298.282399 1225982.694873 6770404.316895
-608423.643873 -6868896.854006 212682.533366,694678.694105 3598771.564187 5835045.445354,-88656.598839 3266774.297704 -6080918.363014,2419322.840683 -4541806.671734 4585971.881105,-2632678.175122 6009418.648731 2126094.289282,210729.393577 -1466531.589994 -6742713.996521,1042397.095954 -210373.501900 6806224.676975,-5323866.903291 3552982.044597 -2581785.866802,4278933.312858 -3343654.640726 -4261230.330089,-3598771.564187 694678.694105 5835045.445354,-3266774.297704 -88656.598839 -6080918.363014,6868896.854006 -608423.643873 212682.533366,-6009418.648731 -2632678.175122 2126094.289282,1466531.589994 210729.393577 -6742713.996521,4541806.671734 2419322.840683 4585971.881105,-3552982.044597 -5323866.903291 -2581785.866802,3343654.640726 4278933.312858 -4261230.330089,210373.501900 1042397.095954 6806224.676975
-608193.075781 -6857847.873152 440047.040523,712518.626199 3788804.443301 5711562.073218,-106707.696668 3065747.904131 -6184450.104263,2354108.578052 -4401801.766346 4752960.853811,-2660014.712288 6070451.560152 1908505.202860,303154.256823 -1667317.845014 -6692333.917879,858245.204357 -80415.666488 6834596.327131,-5251238.637209 3502570.492226 -2791316.372121,4390718.782344 -3423392.343711 -4080200.833624,-3788804.443301 712518.626199 5711562.073218,-3065747.904131 -106707.696668 -6184450.104263,6857847.873152 -608193.075781 440047.040523,-6070451.560152 -2660014.712288 1908505.202860,1667317.845014 303154.256823 -6692333.917879,4401801.766346 2354108.578052 4752960.853811,-3502570.492226 -5251238.637209 -2791316.372121,3423392.343711 4390718.782344 -4080200.833624,80415.666488 858245.204357 6834596.327131
-607235.387032 -6839331.947276 666928.809365,730405.761984 3974637.842118 5581821.147586,-125530.068335 2861488.227156 -6281248.452129,2286955.406401 -4256715.674154 4914738.747367,-2684200.308103 6124983.333822 1688821.844431,394376.315808 -1866705.364578 -6634674.769204,673731.358369 50436.044257 6855488.458132,-5173134.178079 3448023.426092 -2997792.136626,4497399.507889 -3499894.356820 -3894713.379266,-3974637.842118 730405.761984 5581821.147586,-2861488.227156 -125530.068335 -6281248.452129,6839331.947276 -607235.387032 666928.809365,-6124983.333822 -2684200.308103 1688821.844431,1866705.364578 394376.315808 -6634674.769204,4256715.674154 2286955.406401 4914738.747367,-3448023.426092 -5173134.178079 -2997792.136626,3499894.356820 4497399.507889 -3894713.379266,-50436.044257 673731.358369 6855488.458132
-605518.969168 -6813371.909858 893078.890313,748301.750894 4156069.010059 5445964.135545,-145117.040056 2654220.002669 -6371209.288562,2217958.584781 -4106698.560920 5071128.765180,-2705237.231715 6172940.860567 1467285.302648,484303.609697 -2064473.136782 -6569798.422910,489059.657898 182040.593293 6868878.385081,-5089657.730945 3389377.288109 -3200987.973908,4598872.871581 -3573054.156386 -3704969.523731,-4156069.010059 748301.750894 5445964.135545,-2654220.002669 -145117.040056 -6371209.288562,6813371.909858 -605518.969168 893078.890313,-6172940.860567 -2705237.231715 1467285.302648,2064473.136782 484303.609697 -6569798.422910,4106698.560920 2217958.584781 5071128.765180,-3389377.288109 -5089657.730945 -3200987.973908,3573054.156386 4598872.871581 -3704969.523731,-182040.593293 489059.657898 6868878.385081
-603013.106411 -6779998.939444 1118249.109587,766167.315108 4332900.113127 5304139.232347,-165460.151702 2444171.068104 -6454235.898662,2147214.735772 -3951906.335349 5221960.067431,-2723131.575893 6214258.267467 1244138.712415,572846.527688 -2260401.416760 -6497774.520036,304433.738162 314255.243693 6874751.570039,-5000919.187366 3326673.388670 -3400682.412573,4695042.348862 -3642768.335738 -3511175.590893,-4332900.113127 766167.315108 5304139.232347,-2444171.068104 -165460.151702 -6454235.898662,6779998.939444 -603013.106411 1118249.109587,-6214258.267467 -2723131.575893 1244138.712415,2260401.416760 572846.527688 -6497774.520036,3951906.335349 2147214.735772 5221960.067431,-3326673.388670 -5000919.187366 -3400682.412573,3642768.335738 4695042.348862 -3511175.590893,-314255.243693 304433.738162 6874751.570039
-599688.166027 -6739252.510827 1342192.350650,783962.386514 4504938.444293 5156501.205740,-186549.103849 2231572.114957 -6530239.064392,2074821.638815 -3792500.518630 5367067.953450,-2737893.111193 6248877.056486 1019626.979897,659917.861895 -2454271.975222 -6418680.403704,120056.548491 446935.702299 6873101.636517,-4907033.914400 3259957.969659 -3596657.936968,4785817.546165 -3708936.831098 -3313542.451534,-4504938.444293 783962.386514 5156501.205740,-2231572.114957 -186549.103849 -6530239.064392,6739252.510827 -599688.166027 1342192.350650,-6248877.056486 -2737893.111193 1019626.979897,2454271.975222 659917.861895 -6418680.403704,3792500.518630 2074821.638815 5367067.953450,-3259957.969659 -4907033.914400 -3596657.936968,3708936.831098 4785817.546165 -3313542.451534,-446935.702299 120056.548491 6873101.636517
-595515.586562 -6691180.353735 1564662.834358,801646.126645 4671996.650396 5003211.232655,-208371.789473 2016656.435337 -6599137.150663,2000878.146636 -3628648.041407 5506294.036754,-2749535.315923 6276746.154949 793996.505201,745432.914127 -2645868.333893 -6332601.044959,-63869.870385 579936.283617 6863930.375824,-4808122.638494 3189282.110412 -3788701.222454,4871114.335240 -3771463.011131 -3112285.297061,-4671996.650396 801646.126645 5003211.232655,-2016656.435337 -208371.789473 -6599137.150663,6691180.353735 -595515.586562 1564662.834358,-6276746.154949 -2749535.315923 793996.505201,2645868.333893 745432.914127 -6332601.044959,3628648.041407 2000878.146636 5506294.036754,-3189282.110412 -4808122.638494 -3788701.222454,3771463.011131 4871114.335240 -3112285.297061,-579936.283617 -63869.870385 6863930.375824
-590467.964826 -6635838.392385 1785416.397399,819177.007325 4833892.942797 4844436.728349,-230914.287212 1799659.668594 -6660856.183768,1925484.039548 -3460521.068186 5639486.412603,-2758075.311365 6297821.996324 567494.903143,829309.571364 -2834976.006339 -6239628.960976,-247144.606230 713110.066818 6847247.745288,-4704311.273472 3114701.703439 -3976603.364993,4950854.928671 -3830253.829608 -2907623.407390,-4833892.942797 819177.007325 4844436.728349,-1799659.668594 -230914.287212 -6660856.183768,6635838.392385 -590467.964826 1785416.397399,-6297821.996324 -2758075.311365 567494.903143,2834976.006339 829309.571364 -6239628.960976,3460521.068186 1925484.039548 5639486.412603,-3114701.703439 -4704311.273472 -3976603.364993,3830253.829608 4950854.928671 -2907623.407390,-713110.066818 -247144.606230 6847247.745288
-584519.121507 -6573290.676655 2004210.768641,836512.881615 4990451.304389 4680351.168139,-254160.865899 1580819.545989 -6715329.922210,1848739.892169 -3288296.809481 5766499.817975,-2763533.809995 6312068.583986 340370.722477,911468.383156 -3021382.736793 -6139864.125629,-429568.093437 846309.057063 6823071.858329,-4595730.753285 3036277.409393 -4160160.104817,5024967.958069 -3885219.961670 -2699779.913251,-4990451.304389 836512.881615 4680351.168139,-1580819.545989 -254160.865899 -6715329.922210,6573290.676655 -584519.121507 2004210.768641,-6312068.583986 -2763533.809995 340370.722477,3021382.736793 911468.383156 -6139864.125629,3288296.809481 1848739.892169 5766499.817975,-3036277.409393 -4595730.753285 -4160160.104817,3885219.961670 5024967.958069 -2699779.913251,-846309.057063 -429568.093437 6823071.858329
